ID;nom;adresse;commune;etat;type;geo;nbVelosDispo;nbPlacesDispo;etatConnexion;datemiseajour;localisation
19;RUE ROYALE;40 RUE ROYALE;LILLE;EN SERVICE;AVEC TPE;50.64031,3.05774;14;10;CONNECTED;2021-02-17T17:06:54+01:00;50.64031,3.05774
140;RUE CORNEILLE;RUE CORNEILLE;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.623795,3.144815;0;0;CONNECTED;2019-10-17T14:37:06+02:00;50.623795,3.144815
166;CAMPUS ST RAPHAEL;100 BOULEVARD VAUBAN;LILLE;EN SERVICE;AVEC TPE;50.630849,3.044719;10;6;CONNECTED;2021-02-17T17:06:55+01:00;50.630849,3.044719
20;N.D. DE LA TREILLE;PLACE GILLSON;LILLE;EN SERVICE;AVEC TPE;50.640385,3.062053;18;12;CONNECTED;2021-02-17T17:06:54+01:00;50.640385,3.062053
52;PLACE COLETTE BESSON;FACE AU 37 RUE DE WAZEMMES;LILLE;EN SERVICE;AVEC TPE;50.62276,3.063799;13;9;CONNECTED;2021-02-17T17:06:54+01:00;50.62276,3.063799
17;HALLE AUX SUCRES;33 AVENUE DU PEUPLE BELGE;LILLE;EN SERVICE;AVEC TPE;50.644695,3.060867;3;16;CONNECTED;2021-02-17T17:06:54+01:00;50.644695,3.060867
27;TANNEURS;2 - 10 RUE DES TANNEURS;LILLE;EN SERVICE;AVEC TPE;50.635014,3.064802;20;16;CONNECTED;2021-02-17T17:06:54+01:00;50.635014,3.064802
149;JEAN JAURES;FACE AU 780 AVENUE JEAN JAURES;RONCHIN;EN SERVICE;AVEC TPE;50.609592,3.075483;5;12;CONNECTED;2021-02-17T17:06:55+01:00;50.609592,3.075483
150;RONCHIN MAIRIE;SUR LE PARVIS DE LA MAIRIE;RONCHIN;EN SERVICE;AVEC TPE;50.60548,3.077622;10;14;CONNECTED;2021-02-17T17:06:55+01:00;50.60548,3.077622
129;FLERS CHATEAU;RUE DE LA CHEVALERIE;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.63608,3.130853;0;0;CONNECTED;2019-10-21T09:46:05+02:00;50.63608,3.130853
26;MOLINEL;58 RUE DU MOLINEL;LILLE;EN SERVICE;AVEC TPE;50.63457,3.068007;16;6;CONNECTED;2021-02-17T17:06:54+01:00;50.63457,3.068007
89;BOULEVARD DE METZ;40 BOULEVARD DE METZ;LILLE;HORS SERVICE;AVEC TPE;50.619312,3.041299;0;0;DISCONNECTED;2019-07-10T17:39:06+02:00;50.619312,3.041299
222;LES GOBELINS;32, RUE DE LA COMMUNAUTÉ URBAINE;ROUBAIX;HORS SERVICE;AVEC TPE;50.6941,3.172165;0;12;DISCONNECTED;2019-07-10T17:47:05+02:00;50.6941,3.172165
233;RUE DE TOURCOING;RUE DE TOURCOING (SUR LA PARKING GRDF);ROUBAIX;HORS SERVICE;AVEC TPE;50.702026,3.172654;0;16;DISCONNECTED;2019-07-10T17:47:05+02:00;50.702026,3.172654
126;LE POLYEDRE;FACE AU 38, AVENUE RHIN ET DANUBE;MONS EN BAROEUL;HORS SERVICE;AVEC TPE;50.64057,3.115571;0;3;DISCONNECTED;2019-07-10T17:41:05+02:00;50.64057,3.115571
87;JULES GUESDE;RUE ST ELOI;LILLE HELLEMMES;HORS SERVICE;AVEC TPE;50.632393,3.110669;0;0;DISCONNECTED;2019-07-10T17:39:06+02:00;50.632393,3.110669
